time,kf_cov_x,kf_cov_y,kf_cov_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,pf_cov_x,pf_cov_y,pf_cov_theta
3.9001,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0290,0.0289,0.0240
4.0001,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0163,0.0159,0.0137
4.1008,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0094,0.0087,0.0072
4.2001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0062,0.0056,0.0050
4.3001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0048,0.0045,0.0040
4.4021,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0034,0.0033,0.0028
4.5001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0030,0.0028,0.0024
4.6002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0027,0.0023,0.0021
4.7001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0026,0.0020,0.0019
4.8002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0025,0.0017,0.0018
4.9002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0025,0.0015,0.0017
5.0003,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0025,0.0013,0.0016
5.1001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0024,0.0011,0.0015
5.2077,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0024,0.0009,0.0015
5.3018,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0027,0.0008,0.0017
5.4004,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0029,0.0007,0.0017
5.5001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0029,0.0006,0.0017
5.6002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0029,0.0005,0.0017
5.7003,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0030,0.0005,0.0018
5.8024,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0030,0.0005,0.0018
5.9001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0033,0.0004,0.0021
6.0001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0034,0.0004,0.0022
6.1030,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0033,0.0003,0.0021
6.2001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0032,0.0003,0.0021
6.3001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0031,0.0003,0.0021
6.4001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0032,0.0003,0.0022
6.5002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0032,0.0002,0.0021
6.6006,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0032,0.0002,0.0022
6.7005,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0033,0.0002,0.0023
6.8003,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0034,0.0002,0.0023
6.9002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0037,0.0002,0.0025
7.0008,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0037,0.0002,0.0025
7.1001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0039,0.0002,0.0026
7.2001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0040,0.0002,0.0027
7.3002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0038,0.0001,0.0027
7.4001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0038,0.0001,0.0027
7.5001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0038,0.0001,0.0028
7.6002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0041,0.0001,0.0029
7.7001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0041,0.0001,0.0030
7.8018,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0042,0.0001,0.0031
7.9002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0042,0.0001,0.0032
8.0002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0041,0.0001,0.0033
8.1002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0039,0.0001,0.0032
8.2001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0039,0.0001,0.0032
8.3001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0038,0.0001,0.0030
8.4001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0037,0.0001,0.0030
8.5001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0037,0.0001,0.0029
8.6001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0039,0.0001,0.0028
8.7002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0037,0.0001,0.0026
8.8014,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0037,0.0001,0.0025
8.9002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0038,0.0001,0.0024
9.0003,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0039,0.0001,0.0024
9.1035,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0037,0.0001,0.0023
9.2038,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0037,0.0001,0.0023
9.3001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0038,0.0001,0.0022
9.4002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0037,0.0001,0.0022
9.5002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0035,0.0001,0.0023
9.6001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0036,0.0001,0.0022
9.7002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0036,0.0000,0.0021
