time,in_dropout,gt_x,gt_y,kf_x,kf_y,ekf_x,ekf_y,pf_x,pf_y,kf_err,ekf_err,pf_err
3.9001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0060,0.0084,0.0000,0.0000,0.0103
4.0001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0057,0.0094,0.0000,0.0000,0.0110
4.1008,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0087,0.0087,0.0000,0.0000,0.0123
4.2001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0133,0.0051,0.0000,0.0000,0.0143
4.3001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0186,0.0023,0.0000,0.0000,0.0187
4.4021,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0214,-0.0014,0.0000,0.0000,0.0215
4.5001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0227,-0.0034,0.0000,0.0000,0.0229
4.6002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0226,-0.0060,0.0000,0.0000,0.0234
4.7001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0225,-0.0075,0.0000,0.0000,0.0237
4.8002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0214,-0.0093,0.0000,0.0000,0.0233
4.9002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0208,-0.0105,0.0000,0.0000,0.0233
5.0003,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0190,-0.0115,0.0000,0.0000,0.0222
5.1001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0170,-0.0127,0.0000,0.0000,0.0212
5.2077,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0169,-0.0135,0.0000,0.0000,0.0216
5.3018,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0168,-0.0139,0.0000,0.0000,0.0218
5.4004,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0155,-0.0144,0.0000,0.0000,0.0212
5.5001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0151,-0.0149,0.0000,0.0000,0.0212
5.6002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0144,-0.0152,0.0000,0.0000,0.0210
5.7003,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0136,-0.0155,0.0000,0.0000,0.0206
5.8024,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0151,-0.0157,0.0000,0.0000,0.0217
5.9001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0127,-0.0158,0.0000,0.0000,0.0203
6.0001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0118,-0.0160,0.0000,0.0000,0.0199
6.1030,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0100,-0.0162,0.0000,0.0000,0.0190
6.2001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0086,-0.0163,0.0000,0.0000,0.0185
6.3001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0077,-0.0165,0.0000,0.0000,0.0182
6.4001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0072,-0.0165,0.0000,0.0000,0.0180
6.5002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0085,-0.0165,0.0000,0.0000,0.0186
6.6006,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0078,-0.0166,0.0000,0.0000,0.0183
6.7005,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0059,-0.0166,0.0000,0.0000,0.0176
6.8003,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0046,-0.0166,0.0000,0.0000,0.0172
6.9002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0032,-0.0166,0.0000,0.0000,0.0170
7.0008,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0040,-0.0166,0.0000,0.0000,0.0171
7.1001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0039,-0.0166,0.0000,0.0000,0.0171
