time,true_dist,kf_dist,ekf_dist,pf_dist,kf_err,ekf_err,pf_err
3.9001,0.8485,0.8485,0.8485,0.8469,0.0000,0.0000,0.0016
4.0001,0.8485,0.8485,0.8485,0.8459,0.0000,0.0000,0.0026
4.1008,0.8485,0.8485,0.8485,0.8487,0.0000,0.0000,0.0001
4.2001,0.8485,0.8485,0.8485,0.8545,0.0000,0.0000,0.0059
4.3001,0.8485,0.8485,0.8485,0.8602,0.0000,0.0000,0.0116
4.4021,0.8485,0.8485,0.8485,0.8648,0.0000,0.0000,0.0163
4.5001,0.8485,0.8485,0.8485,0.8671,0.0000,0.0000,0.0186
4.6002,0.8485,0.8485,0.8485,0.8689,0.0000,0.0000,0.0204
4.7001,0.8485,0.8485,0.8485,0.8698,0.0000,0.0000,0.0213
4.8002,0.8485,0.8485,0.8485,0.8703,0.0000,0.0000,0.0218
4.9002,0.8485,0.8485,0.8485,0.8707,0.0000,0.0000,0.0222
5.0003,0.8485,0.8485,0.8485,0.8701,0.0000,0.0000,0.0216
5.1001,0.8485,0.8485,0.8485,0.8695,0.0000,0.0000,0.0210
5.2077,0.8485,0.8485,0.8485,0.8700,0.0000,0.0000,0.0215
5.3018,0.8485,0.8485,0.8485,0.8702,0.0000,0.0000,0.0217
5.4004,0.8485,0.8485,0.8485,0.8697,0.0000,0.0000,0.0211
5.5001,0.8485,0.8485,0.8485,0.8697,0.0000,0.0000,0.0212
5.6002,0.8485,0.8485,0.8485,0.8695,0.0000,0.0000,0.0210
5.7003,0.8485,0.8485,0.8485,0.8691,0.0000,0.0000,0.0206
5.8024,0.8485,0.8485,0.8485,0.8703,0.0000,0.0000,0.0217
5.9001,0.8485,0.8485,0.8485,0.8687,0.0000,0.0000,0.0202
6.0001,0.8485,0.8485,0.8485,0.8682,0.0000,0.0000,0.0197
6.1030,0.8485,0.8485,0.8485,0.8671,0.0000,0.0000,0.0186
6.2001,0.8485,0.8485,0.8485,0.8662,0.0000,0.0000,0.0177
6.3001,0.8485,0.8485,0.8485,0.8657,0.0000,0.0000,0.0171
6.4001,0.8485,0.8485,0.8485,0.8653,0.0000,0.0000,0.0168
6.5002,0.8485,0.8485,0.8485,0.8662,0.0000,0.0000,0.0177
6.6006,0.8485,0.8485,0.8485,0.8658,0.0000,0.0000,0.0173
6.7005,0.8485,0.8485,0.8485,0.8645,0.0000,0.0000,0.0160
6.8003,0.8485,0.8485,0.8485,0.8636,0.0000,0.0000,0.0150
6.9002,0.8485,0.8485,0.8485,0.8626,0.0000,0.0000,0.0141
7.0008,0.8485,0.8485,0.8485,0.8631,0.0000,0.0000,0.0146
7.1001,0.8485,0.8485,0.8485,0.8631,0.0000,0.0000,0.0146
7.2001,0.8485,0.8485,0.8485,0.8624,0.0000,0.0000,0.0139
7.3002,0.8485,0.8485,0.8485,0.8631,0.0000,0.0000,0.0146
7.4001,0.8485,0.8485,0.8485,0.8628,0.0000,0.0000,0.0143
7.5001,0.8485,0.8485,0.8485,0.8638,0.0000,0.0000,0.0152
7.6002,0.8485,0.8485,0.8485,0.8644,0.0000,0.0000,0.0159
7.7001,0.8485,0.8485,0.8485,0.8657,0.0000,0.0000,0.0172
7.8018,0.8485,0.8485,0.8485,0.8629,0.0000,0.0000,0.0144
7.9002,0.8485,0.8485,0.8485,0.8630,0.0000,0.0000,0.0144
8.0002,0.8485,0.8485,0.8485,0.8639,0.0000,0.0000,0.0154
8.1002,0.8485,0.8485,0.8485,0.8639,0.0000,0.0000,0.0154
8.2001,0.8485,0.8485,0.8485,0.8625,0.0000,0.0000,0.0140
8.3001,0.8485,0.8485,0.8485,0.8622,0.0000,0.0000,0.0137
8.4001,0.8485,0.8485,0.8485,0.8605,0.0000,0.0000,0.0120
8.5001,0.8485,0.8485,0.8485,0.8605,0.0000,0.0000,0.0119
8.6001,0.8485,0.8485,0.8485,0.8598,0.0000,0.0000,0.0113
8.7002,0.8485,0.8485,0.8485,0.8601,0.0000,0.0000,0.0116
8.8014,0.8485,0.8485,0.8485,0.8595,0.0000,0.0000,0.0110
8.9002,0.8485,0.8485,0.8485,0.8598,0.0000,0.0000,0.0113
