time,rmse_kf,rmse_ekf,rmse_pf,error_x_kf,error_y_kf,error_x_ekf,error_y_ekf,error_x_pf,error_y_pf
3.9001,0.0000,0.0000,0.0103,0.0000,-0.0000,0.0000,-0.0000,-0.0060,0.0084
4.0001,0.0000,0.0000,0.0107,0.0000,-0.0000,0.0000,-0.0000,-0.0057,0.0094
4.1008,0.0000,0.0000,0.0112,0.0000,-0.0000,0.0000,-0.0000,-0.0087,0.0087
4.2001,0.0000,0.0000,0.0121,0.0000,-0.0000,0.0000,-0.0000,-0.0133,0.0051
4.3001,0.0000,0.0000,0.0137,0.0000,-0.0000,-0.0000,0.0000,-0.0186,0.0023
4.4021,0.0000,0.0000,0.0152,-0.0000,0.0000,-0.0000,0.0000,-0.0214,-0.0014
4.5001,0.0000,0.0000,0.0166,-0.0000,0.0000,-0.0000,0.0000,-0.0227,-0.0034
4.6002,0.0000,0.0000,0.0176,-0.0000,0.0000,-0.0000,0.0000,-0.0226,-0.0060
4.7001,0.0000,0.0000,0.0184,0.0000,-0.0000,0.0000,-0.0000,-0.0225,-0.0075
4.8002,0.0000,0.0000,0.0189,0.0000,-0.0000,0.0000,-0.0000,-0.0214,-0.0093
4.9002,0.0000,0.0000,0.0194,0.0000,-0.0000,0.0000,-0.0000,-0.0208,-0.0105
5.0003,0.0000,0.0000,0.0196,0.0000,-0.0000,0.0000,-0.0000,-0.0190,-0.0115
5.1001,0.0000,0.0000,0.0197,0.0000,-0.0000,0.0000,-0.0000,-0.0170,-0.0127
5.2077,0.0000,0.0000,0.0199,0.0000,-0.0000,0.0000,-0.0000,-0.0169,-0.0135
5.3018,0.0000,0.0000,0.0200,0.0000,-0.0000,0.0000,-0.0000,-0.0168,-0.0139
5.4004,0.0000,0.0000,0.0201,0.0000,-0.0000,0.0000,-0.0000,-0.0155,-0.0144
5.5001,0.0000,0.0000,0.0202,-0.0000,0.0000,-0.0000,0.0000,-0.0151,-0.0149
5.6002,0.0000,0.0000,0.0202,-0.0000,0.0000,-0.0000,0.0000,-0.0144,-0.0152
5.7003,0.0000,0.0000,0.0202,0.0000,-0.0000,0.0000,-0.0000,-0.0136,-0.0155
5.8024,0.0000,0.0000,0.0203,0.0000,-0.0000,0.0000,-0.0000,-0.0151,-0.0157
5.9001,0.0000,0.0000,0.0203,0.0000,-0.0000,0.0000,-0.0000,-0.0127,-0.0158
6.0001,0.0000,0.0000,0.0203,0.0000,-0.0000,0.0000,-0.0000,-0.0118,-0.0160
6.1030,0.0000,0.0000,0.0202,0.0000,-0.0000,0.0000,-0.0000,-0.0100,-0.0162
6.2001,0.0000,0.0000,0.0202,0.0000,-0.0000,0.0000,-0.0000,-0.0086,-0.0163
6.3001,0.0000,0.0000,0.0201,0.0000,-0.0000,0.0000,-0.0000,-0.0077,-0.0165
6.4001,0.0000,0.0000,0.0200,0.0000,-0.0000,0.0000,-0.0000,-0.0072,-0.0165
6.5002,0.0000,0.0000,0.0200,0.0000,-0.0000,0.0000,-0.0000,-0.0085,-0.0165
6.6006,0.0000,0.0000,0.0199,0.0000,-0.0000,0.0000,-0.0000,-0.0078,-0.0166
6.7005,0.0000,0.0000,0.0198,0.0000,-0.0000,0.0000,-0.0000,-0.0059,-0.0166
6.8003,0.0000,0.0000,0.0197,0.0000,-0.0000,0.0000,-0.0000,-0.0046,-0.0166
6.9002,0.0000,0.0000,0.0197,-0.0000,0.0000,-0.0000,0.0000,-0.0032,-0.0166
7.0008,0.0000,0.0000,0.0196,-0.0000,0.0000,-0.0000,0.0000,-0.0040,-0.0166
7.1001,0.0000,0.0000,0.0195,-0.0000,0.0000,-0.0000,0.0000,-0.0039,-0.0166
7.2001,0.0000,0.0000,0.0194,-0.0000,0.0000,-0.0000,0.0000,-0.0029,-0.0166
7.3002,0.0000,0.0000,0.0194,-0.0000,0.0000,-0.0000,0.0000,-0.0039,-0.0167
7.4001,0.0000,0.0000,0.0193,-0.0000,0.0000,-0.0000,0.0000,-0.0033,-0.0168
7.5001,0.0000,0.0000,0.0193,0.0000,0.0000,0.0000,0.0000,-0.0046,-0.0169
7.6002,0.0000,0.0000,0.0192,0.0000,-0.0000,0.0000,-0.0000,-0.0054,-0.0170
7.7001,0.0000,0.0000,0.0192,0.0000,-0.0000,0.0000,-0.0000,-0.0072,-0.0171
7.8018,0.0000,0.0000,0.0192,0.0000,-0.0000,0.0000,-0.0000,-0.0031,-0.0172
7.9002,0.0000,0.0000,0.0191,0.0000,-0.0000,0.0000,-0.0000,-0.0031,-0.0172
8.0002,0.0000,0.0000,0.0191,0.0000,-0.0000,0.0000,-0.0000,-0.0044,-0.0173
8.1002,0.0000,0.0000,0.0191,0.0000,-0.0000,0.0000,-0.0000,-0.0043,-0.0174
8.2001,0.0000,0.0000,0.0190,0.0000,-0.0000,0.0000,-0.0000,-0.0024,-0.0173
8.3001,0.0000,0.0000,0.0190,0.0000,-0.0000,0.0000,-0.0000,-0.0019,-0.0173
8.4001,0.0000,0.0000,0.0190,0.0000,-0.0000,0.0000,-0.0000,0.0006,-0.0174
8.5001,0.0000,0.0000,0.0189,0.0000,-0.0000,0.0000,-0.0000,0.0008,-0.0175
8.6001,0.0000,0.0000,0.0189,0.0000,-0.0000,0.0000,-0.0000,0.0017,-0.0176
8.7002,0.0000,0.0000,0.0189,-0.0000,0.0000,-0.0000,0.0000,0.0013,-0.0176
8.8014,0.0000,0.0000,0.0189,-0.0000,0.0000,-0.0000,0.0000,0.0023,-0.0176
8.9002,0.0000,0.0000,0.0189,0.0000,-0.0000,0.0000,-0.0000,0.0018,-0.0176
9.0003,0.0000,0.0000,0.0188,0.0000,-0.0000,0.0000,-0.0000,0.0002,-0.0176
9.1035,0.0000,0.0000,0.0188,0.0000,-0.0000,0.0000,-0.0000,-0.0003,-0.0177
9.2038,0.0000,0.0000,0.0188,0.0000,-0.0000,0.0000,-0.0000,0.0003,-0.0176
9.3001,0.0000,0.0000,0.0188,0.0000,-0.0000,0.0000,-0.0000,-0.0010,-0.0177
9.4002,0.0000,0.0000,0.0188,0.0000,-0.0000,0.0000,-0.0000,-0.0038,-0.0175
9.5002,0.0000,0.0000,0.0187,0.0000,-0.0000,0.0000,-0.0000,-0.0042,-0.0176
9.6001,0.0000,0.0000,0.0187,0.0000,-0.0000,0.0000,-0.0000,-0.0024,-0.0176
9.7002,0.0000,0.0000,0.0187,0.0000,-0.0000,0.0000,-0.0000,-0.0021,-0.0176
9.8002,0.0000,0.0000,0.0187,0.0000,-0.0000,0.0000,-0.0000,-0.0014,-0.0177
9.9002,0.0000,0.0000,0.0187,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0177
10.0002,0.0000,0.0000,0.0187,0.0000,-0.0000,0.0000,-0.0000,0.0016,-0.0177
