time,kf_cov_x,kf_cov_y,kf_cov_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,pf_cov_x,pf_cov_y,pf_cov_theta
3.8002,0.0199,0.0199,0.0000,0.0192,0.0192,0.0192,0.0230,0.0231,0.0198
3.9002,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0128,0.0112,0.0106
4.0002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0090,0.0075,0.0071
4.1002,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0066,0.0051,0.0051
4.2001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0055,0.0043,0.0040
4.3001,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0048,0.0034,0.0032
4.4002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0043,0.0029,0.0028
4.5002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0041,0.0026,0.0026
4.6002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0043,0.0022,0.0025
4.7002,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0042,0.0019,0.0024
4.8002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0042,0.0017,0.0025
4.9002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0040,0.0014,0.0025
5.0005,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0039,0.0013,0.0024
5.1002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0040,0.0011,0.0025
5.2002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0041,0.0010,0.0024
5.3002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0042,0.0009,0.0027
5.4002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0044,0.0008,0.0027
5.5002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0044,0.0007,0.0028
5.6002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0047,0.0007,0.0029
5.7002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0051,0.0006,0.0030
5.8002,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0057,0.0006,0.0031
5.9005,0.0208,0.0208,0.0000,0.0179,0.0179,0.0179,0.0072,0.0005,0.0036
6.0020,0.0205,0.0205,0.0000,0.0179,0.0179,0.0179,0.0074,0.0005,0.0037
6.1002,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0072,0.0005,0.0041
6.2002,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0061,0.0004,0.0037
6.3001,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0060,0.0004,0.0036
6.4002,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0056,0.0003,0.0033
6.5075,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0054,0.0003,0.0033
6.6003,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0057,0.0003,0.0037
6.7009,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0060,0.0003,0.0037
6.8002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0059,0.0002,0.0038
6.9002,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0067,0.0002,0.0040
7.0045,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0066,0.0002,0.0041
7.1003,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0066,0.0002,0.0043
7.2005,0.0187,0.0187,0.0000,0.0179,0.0179,0.0179,0.0061,0.0002,0.0041
7.3002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0056,0.0002,0.0041
7.4002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0058,0.0002,0.0041
7.5003,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0059,0.0002,0.0041
7.6003,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0052,0.0002,0.0041
7.7001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0054,0.0002,0.0040
7.8002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0057,0.0002,0.0038
7.9002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0053,0.0002,0.0038
8.0002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0054,0.0001,0.0038
8.1002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0053,0.0001,0.0036
8.2004,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0056,0.0001,0.0036
8.3002,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0054,0.0001,0.0035
8.4004,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0053,0.0001,0.0034
8.5002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0053,0.0001,0.0033
8.6002,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0051,0.0001,0.0031
