time,in_dropout,gt_x,gt_y,kf_x,kf_y,ekf_x,ekf_y,pf_x,pf_y,kf_err,ekf_err,pf_err
3.8002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0080,0.0055,0.0000,0.0000,0.0097
3.9002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0073,0.0098,0.0000,0.0000,0.0122
4.0002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0103,0.0069,0.0000,0.0000,0.0124
4.1002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0137,0.0026,0.0000,0.0000,0.0139
4.2001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0173,-0.0001,0.0000,0.0000,0.0173
4.3001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0173,-0.0032,0.0000,0.0000,0.0176
4.4002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0165,-0.0053,0.0000,0.0000,0.0173
4.5002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0159,-0.0070,0.0000,0.0000,0.0174
4.6002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0148,-0.0087,0.0000,0.0000,0.0172
4.7002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0112,-0.0101,0.0000,0.0000,0.0150
4.8002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0112,-0.0110,0.0000,0.0000,0.0157
4.9002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0084,-0.0120,0.0000,0.0000,0.0147
5.0005,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0075,-0.0128,0.0000,0.0000,0.0148
5.1002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0082,-0.0135,0.0000,0.0000,0.0158
5.2002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0051,-0.0142,0.0000,0.0000,0.0151
5.3002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0077,-0.0147,0.0000,0.0000,0.0166
5.4002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0079,-0.0150,0.0000,0.0000,0.0169
