time,true_dist,kf_dist,ekf_dist,pf_dist,kf_err,ekf_err,pf_err
3.8002,0.8485,0.8485,0.8485,0.8503,0.0000,0.0000,0.0018
3.9002,0.8485,0.8485,0.8485,0.8469,0.0000,0.0000,0.0017
4.0002,0.8485,0.8485,0.8485,0.8510,0.0000,0.0000,0.0025
4.1002,0.8485,0.8485,0.8485,0.8564,0.0000,0.0000,0.0079
4.2001,0.8485,0.8485,0.8485,0.8609,0.0000,0.0000,0.0124
4.3001,0.8485,0.8485,0.8485,0.8631,0.0000,0.0000,0.0145
4.4002,0.8485,0.8485,0.8485,0.8640,0.0000,0.0000,0.0154
4.5002,0.8485,0.8485,0.8485,0.8648,0.0000,0.0000,0.0162
4.6002,0.8485,0.8485,0.8485,0.8652,0.0000,0.0000,0.0166
4.7002,0.8485,0.8485,0.8485,0.8635,0.0000,0.0000,0.0150
4.8002,0.8485,0.8485,0.8485,0.8642,0.0000,0.0000,0.0157
4.9002,0.8485,0.8485,0.8485,0.8630,0.0000,0.0000,0.0144
5.0005,0.8485,0.8485,0.8485,0.8629,0.0000,0.0000,0.0144
5.1002,0.8485,0.8485,0.8485,0.8638,0.0000,0.0000,0.0153
5.2002,0.8485,0.8485,0.8485,0.8622,0.0000,0.0000,0.0137
5.3002,0.8485,0.8485,0.8485,0.8644,0.0000,0.0000,0.0159
5.4002,0.8485,0.8485,0.8485,0.8647,0.0000,0.0000,0.0162
5.5002,0.8485,0.8485,0.8485,0.8653,0.0000,0.0000,0.0168
5.6002,0.8485,0.8485,0.8485,0.8649,0.0000,0.0000,0.0163
5.7002,0.8485,0.8485,0.8485,0.8636,0.0000,0.0000,0.0151
5.8002,0.8485,0.8485,0.8485,0.8643,0.0000,0.0000,0.0158
5.9005,0.8485,0.8485,0.8485,0.8659,0.0000,0.0000,0.0174
6.0020,0.8485,0.8485,0.8485,0.8657,0.0000,0.0000,0.0171
6.1002,0.8485,0.8485,0.8485,0.8675,0.0000,0.0000,0.0190
6.2002,0.8485,0.8485,0.8485,0.8661,0.0000,0.0000,0.0176
6.3001,0.8485,0.8485,0.8485,0.8633,0.0000,0.0000,0.0148
6.4002,0.8485,0.8485,0.8485,0.8629,0.0000,0.0000,0.0143
6.5075,0.8485,0.8485,0.8485,0.8628,0.0000,0.0000,0.0143
6.6003,0.8485,0.8485,0.8485,0.8628,0.0000,0.0000,0.0143
6.7009,0.8485,0.8485,0.8485,0.8618,0.0000,0.0000,0.0133
6.8002,0.8485,0.8485,0.8485,0.8612,0.0000,0.0000,0.0126
6.9002,0.8485,0.8485,0.8485,0.8630,0.0000,0.0000,0.0145
7.0045,0.8485,0.8485,0.8485,0.8622,0.0000,0.0000,0.0137
7.1003,0.8485,0.8485,0.8485,0.8620,0.0000,0.0000,0.0134
7.2005,0.8485,0.8485,0.8485,0.8610,0.0000,0.0000,0.0124
7.3002,0.8485,0.8485,0.8485,0.8600,0.0000,0.0000,0.0114
7.4002,0.8485,0.8485,0.8485,0.8600,0.0000,0.0000,0.0115
7.5003,0.8485,0.8485,0.8485,0.8597,0.0000,0.0000,0.0111
7.6003,0.8485,0.8485,0.8485,0.8586,0.0000,0.0000,0.0101
7.7001,0.8485,0.8485,0.8485,0.8578,0.0000,0.0000,0.0092
7.8002,0.8485,0.8485,0.8485,0.8586,0.0000,0.0000,0.0100
7.9002,0.8485,0.8485,0.8485,0.8577,0.0000,0.0000,0.0091
8.0002,0.8485,0.8485,0.8485,0.8568,0.0000,0.0000,0.0083
8.1002,0.8485,0.8485,0.8485,0.8586,0.0000,0.0000,0.0101
8.2004,0.8485,0.8485,0.8485,0.8589,0.0000,0.0000,0.0103
8.3002,0.8485,0.8485,0.8485,0.8574,0.0000,0.0000,0.0089
8.4004,0.8485,0.8485,0.8485,0.8568,0.0000,0.0000,0.0083
8.5002,0.8485,0.8485,0.8485,0.8574,0.0000,0.0000,0.0089
8.6002,0.8485,0.8485,0.8485,0.8586,0.0000,0.0000,0.0101
8.7003,0.8485,0.8485,0.8485,0.8609,0.0000,0.0000,0.0124
8.8044,0.8485,0.8485,0.8485,0.8628,0.0000,0.0000,0.0142
8.9002,0.8485,0.8485,0.8485,0.8627,0.0000,0.0000,0.0142
9.0002,0.8485,0.8485,0.8485,0.8630,0.0000,0.0000,0.0145
9.1004,0.8485,0.8485,0.8485,0.8635,0.0000,0.0000,0.0149
9.2006,0.8485,0.8485,0.8485,0.8641,0.0000,0.0000,0.0155
9.3002,0.8485,0.8485,0.8485,0.8642,0.0000,0.0000,0.0157
9.4002,0.8485,0.8485,0.8485,0.8647,0.0000,0.0000,0.0162
9.5002,0.8485,0.8485,0.8485,0.8653,0.0000,0.0000,0.0168
9.6002,0.8485,0.8485,0.8485,0.8666,0.0000,0.0000,0.0181
9.7058,0.8485,0.8485,0.8485,0.8666,0.0000,0.0000,0.0181
9.8002,0.8485,0.8485,0.8485,0.8639,0.0000,0.0000,0.0154
9.9002,0.8485,0.8485,0.8485,0.8629,0.0000,0.0000,0.0144
10.0002,0.8485,0.8485,0.8485,0.8629,0.0000,0.0000,0.0144
10.1001,0.8485,0.8485,0.8485,0.8613,0.0000,0.0000,0.0128
10.2002,0.8485,0.8485,0.8485,0.8605,0.0000,0.0000,0.0120
10.3045,0.8485,0.8485,0.8485,0.8609,0.0000,0.0000,0.0124
10.4008,0.8485,0.8485,0.8485,0.8613,0.0000,0.0000,0.0128
10.5042,0.8485,0.8485,0.8485,0.8626,0.0000,0.0000,0.0141
10.6001,0.8485,0.8485,0.8485,0.8620,0.0000,0.0000,0.0135
10.7004,0.8485,0.8485,0.8485,0.8621,0.0000,0.0000,0.0136
10.8049,0.8485,0.8485,0.8485,0.8629,0.0000,0.0000,0.0144
10.9002,0.8485,0.8485,0.8485,0.8640,0.0000,0.0000,0.0155
11.0006,0.8485,0.8485,0.8485,0.8609,0.0000,0.0000,0.0124
11.1003,0.8485,0.8485,0.8485,0.8587,0.0000,0.0000,0.0101
11.2001,0.8485,0.8485,0.8485,0.8585,0.0000,0.0000,0.0100
11.3003,0.8485,0.8485,0.8485,0.8579,0.0000,0.0000,0.0094
11.4001,0.8485,0.8485,0.8485,0.8571,0.0000,0.0000,0.0086
11.5001,0.8485,0.8485,0.8485,0.8563,0.0000,0.0000,0.0077
11.6001,0.8485,0.8485,0.8485,0.8574,0.0000,0.0000,0.0089
11.7027,0.8485,0.8485,0.8485,0.8583,0.0000,0.0000,0.0098
11.8001,0.8485,0.8485,0.8485,0.8596,0.0000,0.0000,0.0111
11.9062,0.8485,0.8485,0.8485,0.8592,0.0000,0.0000,0.0107
12.0005,0.8485,0.8485,0.8485,0.8604,0.0000,0.0000,0.0119
12.1002,0.8485,0.8485,0.8485,0.8624,0.0000,0.0000,0.0139
12.2002,0.8485,0.8485,0.8485,0.8617,0.0000,0.0000,0.0132
12.3001,0.8485,0.8485,0.8485,0.8603,0.0000,0.0000,0.0118
12.4076,0.8485,0.8485,0.8485,0.8604,0.0000,0.0000,0.0119
12.5001,0.8485,0.8485,0.8485,0.8605,0.0000,0.0000,0.0120
12.6002,0.8485,0.8485,0.8485,0.8600,0.0000,0.0000,0.0115
12.7002,0.8485,0.8485,0.8485,0.8599,0.0000,0.0000,0.0114
12.8001,0.8485,0.8485,0.8485,0.8609,0.0000,0.0000,0.0123
12.9001,0.8485,0.8485,0.8485,0.8606,0.0000,0.0000,0.0121
13.0001,0.8485,0.8485,0.8485,0.8615,0.0000,0.0000,0.0130
13.1001,0.8485,0.8485,0.8485,0.8622,0.0000,0.0000,0.0136
13.2001,0.8485,0.8485,0.8485,0.8628,0.0000,0.0000,0.0143
13.3009,0.8485,0.8485,0.8485,0.8620,0.0000,0.0000,0.0135
13.4001,0.8485,0.8485,0.8485,0.8621,0.0000,0.0000,0.0135
13.5003,0.8485,0.8485,0.8485,0.8622,0.0000,0.0000,0.0137
13.6001,0.8485,0.8485,0.8485,0.8644,0.0000,0.0000,0.0158
13.7001,0.8485,0.8485,0.8485,0.8632,0.0000,0.0000,0.0146
13.8003,0.8485,0.8485,0.8485,0.8627,0.0000,0.0000,0.0142
13.9001,0.8485,0.8485,0.8485,0.8637,0.0000,0.0000,0.0152
14.0001,0.8485,0.8485,0.8485,0.8630,0.0000,0.0000,0.0145
14.1001,0.8485,0.8485,0.8485,0.8650,0.0000,0.0000,0.0165
14.2010,0.8485,0.8485,0.8485,0.8647,0.0000,0.0000,0.0162
14.3006,0.8485,0.8485,0.8485,0.8640,0.0000,0.0000,0.0154
