time,rmse_kf,rmse_ekf,rmse_pf,error_x_kf,error_y_kf,error_x_ekf,error_y_ekf,error_x_pf,error_y_pf
3.8002,0.0000,0.0000,0.0097,-0.0000,0.0000,0.0000,-0.0000,-0.0080,0.0055
3.9002,0.0000,0.0000,0.0110,-0.0000,0.0000,0.0000,-0.0000,-0.0073,0.0098
4.0002,0.0000,0.0000,0.0115,-0.0000,0.0000,0.0000,-0.0000,-0.0103,0.0069
4.1002,0.0000,0.0000,0.0122,-0.0000,0.0000,0.0000,-0.0000,-0.0137,0.0026
4.2001,0.0000,0.0000,0.0134,0.0000,-0.0000,-0.0000,0.0000,-0.0173,-0.0001
4.3001,0.0000,0.0000,0.0141,0.0000,-0.0000,-0.0000,0.0000,-0.0173,-0.0032
4.4002,0.0000,0.0000,0.0146,0.0000,-0.0000,-0.0000,0.0000,-0.0165,-0.0053
4.5002,0.0000,0.0000,0.0150,-0.0000,0.0000,-0.0000,0.0000,-0.0159,-0.0070
4.6002,0.0000,0.0000,0.0153,-0.0000,0.0000,0.0000,0.0000,-0.0148,-0.0087
4.7002,0.0000,0.0000,0.0152,-0.0000,0.0000,0.0000,-0.0000,-0.0112,-0.0101
4.8002,0.0000,0.0000,0.0153,-0.0000,0.0000,0.0000,-0.0000,-0.0112,-0.0110
4.9002,0.0000,0.0000,0.0152,-0.0000,0.0000,0.0000,-0.0000,-0.0084,-0.0120
5.0005,0.0000,0.0000,0.0152,-0.0000,0.0000,0.0000,-0.0000,-0.0075,-0.0128
5.1002,0.0000,0.0000,0.0152,-0.0000,0.0000,0.0000,-0.0000,-0.0082,-0.0135
5.2002,0.0000,0.0000,0.0152,-0.0000,0.0000,0.0000,-0.0000,-0.0051,-0.0142
5.3002,0.0000,0.0000,0.0153,0.0000,-0.0000,-0.0000,0.0000,-0.0077,-0.0147
5.4002,0.0000,0.0000,0.0154,0.0000,-0.0000,-0.0000,0.0000,-0.0079,-0.0150
5.5002,0.0000,0.0000,0.0155,0.0000,-0.0000,0.0000,-0.0000,-0.0086,-0.0152
5.6002,0.0000,0.0000,0.0156,0.0000,-0.0000,0.0000,-0.0000,-0.0076,-0.0155
5.7002,0.0000,0.0000,0.0157,-0.0000,0.0000,0.0000,-0.0000,-0.0055,-0.0158
5.8002,0.0000,0.0000,0.0158,-0.0000,0.0000,0.0000,-0.0000,-0.0063,-0.0159
5.9005,0.0000,0.0000,0.0159,-0.0000,0.0000,0.0000,-0.0000,-0.0085,-0.0161
6.0020,0.0000,0.0000,0.0160,-0.0000,0.0000,0.0000,-0.0000,-0.0080,-0.0161
6.1002,0.0000,0.0000,0.0161,-0.0000,0.0000,0.0000,-0.0000,-0.0105,-0.0164
6.2002,0.0000,0.0000,0.0162,-0.0000,0.0000,0.0000,-0.0000,-0.0082,-0.0166
