time,kf_cov_x,kf_cov_y,kf_cov_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,pf_cov_x,pf_cov_y,pf_cov_theta
5.4002,0.0273,0.0273,0.0000,0.0268,0.0268,0.0268,0.0389,0.0393,0.0312
5.5002,0.0209,0.0209,0.0000,0.0192,0.0192,0.0192,0.0241,0.0237,0.0201
5.6002,0.0208,0.0208,0.0000,0.0180,0.0180,0.0180,0.0147,0.0138,0.0126
5.7001,0.0202,0.0202,0.0000,0.0179,0.0179,0.0179,0.0119,0.0103,0.0100
5.8008,0.0206,0.0206,0.0000,0.0179,0.0179,0.0179,0.0095,0.0083,0.0082
5.9001,0.0204,0.0204,0.0000,0.0179,0.0179,0.0179,0.0080,0.0062,0.0071
6.0002,0.0199,0.0199,0.0000,0.0179,0.0179,0.0179,0.0072,0.0055,0.0065
6.1001,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0064,0.0047,0.0055
6.2021,0.0202,0.0202,0.0000,0.0179,0.0179,0.0179,0.0066,0.0043,0.0056
6.3002,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0060,0.0041,0.0055
6.4028,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0060,0.0038,0.0051
6.5002,0.0201,0.0201,0.0000,0.0179,0.0179,0.0179,0.0067,0.0036,0.0053
6.6001,0.0200,0.0200,0.0000,0.0179,0.0179,0.0179,0.0070,0.0035,0.0051
6.7006,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0073,0.0032,0.0049
6.8002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0067,0.0031,0.0047
6.9005,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0062,0.0028,0.0046
7.0001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0062,0.0027,0.0045
7.1002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0061,0.0026,0.0044
7.2035,0.0200,0.0200,0.0000,0.0179,0.0179,0.0179,0.0069,0.0024,0.0048
7.3002,0.0209,0.0209,0.0000,0.0179,0.0179,0.0179,0.0077,0.0024,0.0052
7.4054,0.0201,0.0201,0.0000,0.0179,0.0179,0.0179,0.0072,0.0023,0.0048
7.5001,0.0201,0.0201,0.0000,0.0179,0.0179,0.0179,0.0069,0.0022,0.0049
7.6004,0.0200,0.0200,0.0000,0.0179,0.0179,0.0179,0.0077,0.0021,0.0051
7.7011,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0075,0.0020,0.0052
7.8043,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0074,0.0019,0.0052
7.9085,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0075,0.0018,0.0051
8.0006,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0075,0.0016,0.0048
8.1001,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0081,0.0015,0.0049
8.2027,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0085,0.0015,0.0049
8.3009,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0083,0.0014,0.0048
8.4001,0.0199,0.0199,0.0000,0.0179,0.0179,0.0179,0.0089,0.0014,0.0050
8.5002,0.0201,0.0201,0.0000,0.0179,0.0179,0.0179,0.0078,0.0013,0.0059
8.6014,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0081,0.0012,0.0058
8.7002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0076,0.0011,0.0055
8.8002,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0081,0.0011,0.0053
8.9002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0083,0.0011,0.0052
9.0027,0.0204,0.0204,0.0000,0.0179,0.0179,0.0179,0.0099,0.0010,0.0057
9.1004,0.0200,0.0200,0.0000,0.0179,0.0179,0.0179,0.0095,0.0010,0.0055
9.2002,0.0199,0.0199,0.0000,0.0179,0.0179,0.0179,0.0099,0.0009,0.0054
9.3002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0090,0.0009,0.0050
9.4002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0089,0.0008,0.0049
9.5003,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0087,0.0008,0.0047
9.6007,0.0200,0.0200,0.0000,0.0179,0.0179,0.0179,0.0093,0.0008,0.0052
9.7001,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0086,0.0007,0.0050
9.8028,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0086,0.0007,0.0050
9.9005,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0086,0.0007,0.0053
10.0001,0.0201,0.0201,0.0000,0.0179,0.0179,0.0179,0.0083,0.0007,0.0056
10.1005,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0086,0.0006,0.0058
10.2001,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0081,0.0006,0.0056
10.3001,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0093,0.0006,0.0058
10.4006,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0094,0.0006,0.0057
10.5002,0.0205,0.0205,0.0000,0.0179,0.0179,0.0179,0.0105,0.0006,0.0059
10.6068,0.0199,0.0199,0.0000,0.0179,0.0179,0.0179,0.0098,0.0006,0.0058
10.7002,0.0205,0.0205,0.0000,0.0179,0.0179,0.0179,0.0108,0.0005,0.0055
10.8005,0.0205,0.0205,0.0000,0.0179,0.0179,0.0179,0.0108,0.0005,0.0056
10.9002,0.0220,0.0220,0.0000,0.0179,0.0179,0.0179,0.0140,0.0005,0.0070
11.0002,0.0220,0.0220,0.0000,0.0179,0.0179,0.0179,0.0140,0.0005,0.0070
11.1039,0.0245,0.0245,0.0000,0.0179,0.0179,0.0179,0.0179,0.0006,0.0098
11.2021,0.0228,0.0228,0.0000,0.0179,0.0179,0.0179,0.0172,0.0006,0.0097
11.3032,0.0223,0.0223,0.0000,0.0179,0.0179,0.0179,0.0176,0.0006,0.0105
11.4146,0.0213,0.0213,0.0000,0.0179,0.0179,0.0179,0.0155,0.0007,0.0104
11.5003,0.0209,0.0209,0.0000,0.0179,0.0179,0.0179,0.0143,0.0007,0.0105
11.6106,0.0205,0.0205,0.0000,0.0179,0.0179,0.0179,0.0135,0.0007,0.0098
11.7018,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0115,0.0007,0.0086
11.8010,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0112,0.0007,0.0082
11.9056,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0106,0.0007,0.0077
12.0002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0094,0.0007,0.0070
12.1002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0095,0.0007,0.0070
12.2014,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0092,0.0007,0.0065
12.3083,0.0200,0.0200,0.0000,0.0179,0.0179,0.0179,0.0096,0.0007,0.0067
12.4002,0.0206,0.0206,0.0000,0.0179,0.0179,0.0179,0.0111,0.0007,0.0069
12.5013,0.0206,0.0206,0.0000,0.0179,0.0179,0.0179,0.0116,0.0007,0.0069
12.6002,0.0211,0.0211,0.0000,0.0179,0.0179,0.0179,0.0132,0.0007,0.0069
12.7011,0.0210,0.0210,0.0000,0.0179,0.0179,0.0179,0.0127,0.0007,0.0068
12.8022,0.0201,0.0201,0.0000,0.0179,0.0179,0.0179,0.0114,0.0007,0.0065
12.9001,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0109,0.0007,0.0068
13.0002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0101,0.0006,0.0061
13.1011,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0097,0.0006,0.0060
13.2002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0097,0.0006,0.0059
13.3045,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0095,0.0006,0.0059
13.4052,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0097,0.0006,0.0058
13.5015,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0090,0.0006,0.0058
13.6001,0.0200,0.0200,0.0000,0.0179,0.0179,0.0179,0.0092,0.0006,0.0058
13.7027,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0077,0.0005,0.0052
13.8002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0078,0.0005,0.0050
13.9002,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0080,0.0005,0.0051
