time,in_dropout,gt_x,gt_y,kf_x,kf_y,ekf_x,ekf_y,pf_x,pf_y,kf_err,ekf_err,pf_err
5.4002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0045,0.0110,0.0000,0.0000,0.0119
5.5002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0090,0.0115,0.0000,0.0000,0.0146
5.6002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0128,0.0138,0.0000,0.0000,0.0188
5.7001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0143,0.0123,0.0000,0.0000,0.0189
5.8008,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0167,0.0099,0.0000,0.0000,0.0194
5.9001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0163,0.0066,0.0000,0.0000,0.0176
6.0002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0188,0.0044,0.0000,0.0000,0.0193
6.1001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0202,0.0022,0.0000,0.0000,0.0203
6.2021,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0157,0.0011,0.0000,0.0000,0.0157
6.3002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0135,0.0001,0.0000,0.0000,0.0135
6.4028,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0148,-0.0008,0.0000,0.0000,0.0148
6.5002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0119,-0.0018,0.0000,0.0000,0.0120
6.6001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0116,-0.0023,0.0000,0.0000,0.0119
6.7006,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0089,-0.0034,0.0000,0.0000,0.0096
6.8002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0079,-0.0041,0.0000,0.0000,0.0089
6.9005,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0054,-0.0047,0.0000,0.0000,0.0071
7.0001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0047,-0.0051,0.0000,0.0000,0.0069
7.1002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0066,-0.0057,0.0000,0.0000,0.0087
7.2035,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0034,-0.0063,0.0000,0.0000,0.0072
7.3002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0027,-0.0067,0.0000,0.0000,0.0072
7.4054,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0015,-0.0071,0.0000,0.0000,0.0073
7.5001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0018,-0.0075,0.0000,0.0000,0.0077
7.6004,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0006,-0.0084,0.0000,0.0000,0.0084
7.7011,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0002,-0.0092,0.0000,0.0000,0.0092
7.8043,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0009,-0.0093,0.0000,0.0000,0.0093
7.9085,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0007,-0.0100,0.0000,0.0000,0.0100
