time,true_dist,kf_dist,ekf_dist,pf_dist,kf_err,ekf_err,pf_err
5.4002,0.8485,0.8485,0.8485,0.8440,0.0000,0.0000,0.0045
5.5002,0.8485,0.8485,0.8485,0.8469,0.0000,0.0000,0.0017
5.6002,0.8485,0.8485,0.8485,0.8480,0.0000,0.0000,0.0005
5.7001,0.8485,0.8485,0.8485,0.8502,0.0000,0.0000,0.0017
5.8008,0.8485,0.8485,0.8485,0.8536,0.0000,0.0000,0.0050
5.9001,0.8485,0.8485,0.8485,0.8555,0.0000,0.0000,0.0070
6.0002,0.8485,0.8485,0.8485,0.8589,0.0000,0.0000,0.0104
6.1001,0.8485,0.8485,0.8485,0.8613,0.0000,0.0000,0.0128
6.2021,0.8485,0.8485,0.8485,0.8589,0.0000,0.0000,0.0104
6.3002,0.8485,0.8485,0.8485,0.8581,0.0000,0.0000,0.0095
6.4028,0.8485,0.8485,0.8485,0.8596,0.0000,0.0000,0.0110
6.5002,0.8485,0.8485,0.8485,0.8582,0.0000,0.0000,0.0097
6.6001,0.8485,0.8485,0.8485,0.8584,0.0000,0.0000,0.0098
6.7006,0.8485,0.8485,0.8485,0.8573,0.0000,0.0000,0.0087
6.8002,0.8485,0.8485,0.8485,0.8570,0.0000,0.0000,0.0085
6.9005,0.8485,0.8485,0.8485,0.8557,0.0000,0.0000,0.0071
7.0001,0.8485,0.8485,0.8485,0.8554,0.0000,0.0000,0.0069
7.1002,0.8485,0.8485,0.8485,0.8572,0.0000,0.0000,0.0086
7.2035,0.8485,0.8485,0.8485,0.8554,0.0000,0.0000,0.0069
7.3002,0.8485,0.8485,0.8485,0.8551,0.0000,0.0000,0.0066
7.4054,0.8485,0.8485,0.8485,0.8546,0.0000,0.0000,0.0061
7.5001,0.8485,0.8485,0.8485,0.8526,0.0000,0.0000,0.0041
7.6004,0.8485,0.8485,0.8485,0.8541,0.0000,0.0000,0.0055
7.7011,0.8485,0.8485,0.8485,0.8552,0.0000,0.0000,0.0067
7.8043,0.8485,0.8485,0.8485,0.8545,0.0000,0.0000,0.0060
7.9085,0.8485,0.8485,0.8485,0.8561,0.0000,0.0000,0.0076
8.0006,0.8485,0.8485,0.8485,0.8565,0.0000,0.0000,0.0080
8.1001,0.8485,0.8485,0.8485,0.8588,0.0000,0.0000,0.0102
8.2027,0.8485,0.8485,0.8485,0.8594,0.0000,0.0000,0.0109
