time,rmse_kf,rmse_ekf,rmse_pf,error_x_kf,error_y_kf,error_x_ekf,error_y_ekf,error_x_pf,error_y_pf
5.4002,0.0000,0.0000,0.0119,-0.0000,0.0000,0.0000,-0.0000,-0.0045,0.0110
5.5002,0.0000,0.0000,0.0133,-0.0000,0.0000,0.0000,-0.0000,-0.0090,0.0115
5.6002,0.0000,0.0000,0.0153,-0.0000,0.0000,0.0000,-0.0000,-0.0128,0.0138
5.7001,0.0000,0.0000,0.0163,-0.0000,0.0000,0.0000,-0.0000,-0.0143,0.0123
5.8008,0.0000,0.0000,0.0170,-0.0000,0.0000,0.0000,-0.0000,-0.0167,0.0099
5.9001,0.0000,0.0000,0.0171,-0.0000,0.0000,0.0000,-0.0000,-0.0163,0.0066
6.0002,0.0000,0.0000,0.0174,0.0000,-0.0000,0.0000,-0.0000,-0.0188,0.0044
6.1001,0.0000,0.0000,0.0178,0.0000,-0.0000,0.0000,0.0000,-0.0202,0.0022
6.2021,0.0000,0.0000,0.0176,0.0000,-0.0000,-0.0000,0.0000,-0.0157,0.0011
6.3002,0.0000,0.0000,0.0172,0.0000,-0.0000,-0.0000,0.0000,-0.0135,0.0001
6.4028,0.0000,0.0000,0.0170,0.0000,-0.0000,-0.0000,0.0000,-0.0148,-0.0008
6.5002,0.0000,0.0000,0.0166,-0.0000,-0.0000,-0.0000,0.0000,-0.0119,-0.0018
6.6001,0.0000,0.0000,0.0163,-0.0000,0.0000,-0.0000,0.0000,-0.0116,-0.0023
6.7006,0.0000,0.0000,0.0159,-0.0000,0.0000,0.0000,-0.0000,-0.0089,-0.0034
6.8002,0.0000,0.0000,0.0156,-0.0000,0.0000,0.0000,-0.0000,-0.0079,-0.0041
6.9005,0.0000,0.0000,0.0152,-0.0000,0.0000,0.0000,-0.0000,-0.0054,-0.0047
7.0001,0.0000,0.0000,0.0148,-0.0000,0.0000,0.0000,-0.0000,-0.0047,-0.0051
7.1002,0.0000,0.0000,0.0146,-0.0000,0.0000,0.0000,-0.0000,-0.0066,-0.0057
7.2035,0.0000,0.0000,0.0143,-0.0000,0.0000,0.0000,-0.0000,-0.0034,-0.0063
7.3002,0.0000,0.0000,0.0140,-0.0000,0.0000,0.0000,-0.0000,-0.0027,-0.0067
7.4054,0.0000,0.0000,0.0137,-0.0000,0.0000,0.0000,-0.0000,-0.0015,-0.0071
7.5001,0.0000,0.0000,0.0135,-0.0000,0.0000,0.0000,-0.0000,0.0018,-0.0075
7.6004,0.0000,0.0000,0.0133,-0.0000,0.0000,0.0000,-0.0000,0.0006,-0.0084
7.7011,0.0000,0.0000,0.0132,-0.0000,0.0000,0.0000,-0.0000,-0.0002,-0.0092
7.8043,0.0000,0.0000,0.0131,-0.0000,0.0000,0.0000,-0.0000,0.0009,-0.0093
7.9085,0.0000,0.0000,0.0130,-0.0000,0.0000,0.0000,-0.0000,-0.0007,-0.0100
8.0006,0.0000,0.0000,0.0129,0.0000,-0.0000,0.0000,-0.0000,-0.0008,-0.0104
8.1001,0.0000,0.0000,0.0128,0.0000,-0.0000,0.0000,-0.0000,-0.0037,-0.0108
8.2027,0.0000,0.0000,0.0128,0.0000,-0.0000,-0.0000,0.0000,-0.0045,-0.0109
8.3009,0.0000,0.0000,0.0128,0.0000,-0.0000,-0.0000,0.0000,-0.0035,-0.0112
8.4001,0.0000,0.0000,0.0127,0.0000,-0.0000,-0.0000,0.0000,-0.0043,-0.0112
8.5002,0.0000,0.0000,0.0128,0.0000,-0.0000,0.0000,-0.0000,-0.0092,-0.0121
8.6014,0.0000,0.0000,0.0129,0.0000,-0.0000,0.0000,-0.0000,-0.0073,-0.0123
8.7002,0.0000,0.0000,0.0129,-0.0000,0.0000,0.0000,-0.0000,-0.0061,-0.0122
8.8002,0.0000,0.0000,0.0129,-0.0000,0.0000,0.0000,-0.0000,-0.0060,-0.0123
8.9002,0.0000,0.0000,0.0129,-0.0000,0.0000,0.0000,-0.0000,-0.0055,-0.0122
9.0027,0.0000,0.0000,0.0130,-0.0000,0.0000,0.0000,-0.0000,-0.0064,-0.0124
9.1004,0.0000,0.0000,0.0130,-0.0000,0.0000,0.0000,-0.0000,-0.0056,-0.0123
9.2002,0.0000,0.0000,0.0130,-0.0000,0.0000,0.0000,-0.0000,-0.0070,-0.0123
