time,kf_cov_x,kf_cov_y,kf_cov_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,pf_cov_x,pf_cov_y,pf_cov_theta
3.8002,0.0216,0.0216,0.0000,0.0212,0.0212,0.0212,0.0284,0.0286,0.0245
3.9001,0.0197,0.0197,0.0000,0.0180,0.0180,0.0180,0.0144,0.0133,0.0123
4.0007,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0097,0.0088,0.0085
4.1002,0.0200,0.0200,0.0000,0.0179,0.0179,0.0179,0.0079,0.0063,0.0063
4.2002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0057,0.0046,0.0045
4.3002,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0049,0.0036,0.0036
4.4002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0043,0.0029,0.0031
4.5002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0044,0.0026,0.0028
4.6002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0042,0.0023,0.0025
4.7002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0042,0.0019,0.0025
4.8002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0046,0.0017,0.0027
4.9002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0048,0.0015,0.0026
5.0001,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0043,0.0014,0.0027
5.1002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0048,0.0012,0.0026
5.2002,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0053,0.0012,0.0027
5.3002,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0056,0.0011,0.0030
5.4018,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0057,0.0009,0.0033
5.5008,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0059,0.0008,0.0033
5.6002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0055,0.0007,0.0031
5.7003,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0060,0.0006,0.0032
5.8002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0056,0.0006,0.0032
5.9058,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0058,0.0005,0.0033
6.0003,0.0207,0.0207,0.0000,0.0179,0.0179,0.0179,0.0065,0.0005,0.0038
6.1002,0.0211,0.0211,0.0000,0.0179,0.0179,0.0179,0.0074,0.0005,0.0043
6.2002,0.0201,0.0201,0.0000,0.0179,0.0179,0.0179,0.0074,0.0004,0.0043
6.3003,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0066,0.0004,0.0040
6.4004,0.0187,0.0187,0.0000,0.0179,0.0179,0.0179,0.0061,0.0003,0.0036
6.5011,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0056,0.0003,0.0033
6.6002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0057,0.0003,0.0036
6.7006,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0061,0.0002,0.0037
6.8002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0063,0.0002,0.0038
6.9132,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0062,0.0002,0.0037
7.0003,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0065,0.0002,0.0040
7.1038,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0069,0.0001,0.0042
7.2014,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0065,0.0001,0.0040
7.3002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0060,0.0001,0.0039
7.4005,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0059,0.0001,0.0037
7.5003,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0063,0.0001,0.0038
7.6002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0061,0.0001,0.0038
7.7005,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0062,0.0001,0.0037
7.8004,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0061,0.0001,0.0037
7.9004,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0065,0.0001,0.0037
8.0004,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0068,0.0001,0.0038
8.1002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0067,0.0001,0.0039
8.2002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0064,0.0001,0.0039
8.3003,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0061,0.0001,0.0036
8.4002,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0062,0.0000,0.0035
8.5002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0064,0.0000,0.0036
8.6002,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0065,0.0000,0.0037
8.7003,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0061,0.0000,0.0037
8.8003,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0057,0.0000,0.0036
8.9005,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0052,0.0000,0.0036
9.0003,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0051,0.0000,0.0036
9.1002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0052,0.0000,0.0037
9.2003,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0053,0.0000,0.0037
9.3002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0055,0.0000,0.0039
9.4002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0058,0.0000,0.0039
9.5003,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0055,0.0000,0.0038
9.6002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0055,0.0000,0.0040
9.7002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0055,0.0000,0.0040
9.8050,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0055,0.0000,0.0038
9.9001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0048,0.0000,0.0038
10.0038,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0049,0.0000,0.0038
10.1007,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0052,0.0000,0.0037
10.2001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0057,0.0000,0.0036
10.3002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0059,0.0000,0.0039
10.4002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0055,0.0000,0.0038
10.5002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0060,0.0000,0.0040
10.6002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0059,0.0000,0.0039
