time,true_dist,kf_dist,ekf_dist,pf_dist,kf_err,ekf_err,pf_err
3.8002,0.8485,0.8485,0.8485,0.8500,0.0000,0.0000,0.0015
3.9001,0.8485,0.8485,0.8485,0.8456,0.0000,0.0000,0.0029
4.0007,0.8485,0.8485,0.8485,0.8498,0.0000,0.0000,0.0012
4.1002,0.8485,0.8485,0.8485,0.8559,0.0000,0.0000,0.0073
4.2002,0.8485,0.8485,0.8485,0.8631,0.0000,0.0000,0.0145
4.3002,0.8485,0.8485,0.8485,0.8652,0.0000,0.0000,0.0166
4.4002,0.8485,0.8485,0.8485,0.8656,0.0000,0.0000,0.0171
4.5002,0.8485,0.8485,0.8485,0.8664,0.0000,0.0000,0.0178
4.6002,0.8485,0.8485,0.8485,0.8671,0.0000,0.0000,0.0186
4.7002,0.8485,0.8485,0.8485,0.8655,0.0000,0.0000,0.0170
4.8002,0.8485,0.8485,0.8485,0.8652,0.0000,0.0000,0.0167
4.9002,0.8485,0.8485,0.8485,0.8647,0.0000,0.0000,0.0161
5.0001,0.8485,0.8485,0.8485,0.8644,0.0000,0.0000,0.0159
5.1002,0.8485,0.8485,0.8485,0.8635,0.0000,0.0000,0.0150
5.2002,0.8485,0.8485,0.8485,0.8651,0.0000,0.0000,0.0166
5.3002,0.8485,0.8485,0.8485,0.8663,0.0000,0.0000,0.0178
5.4018,0.8485,0.8485,0.8485,0.8651,0.0000,0.0000,0.0165
5.5008,0.8485,0.8485,0.8485,0.8651,0.0000,0.0000,0.0166
5.6002,0.8485,0.8485,0.8485,0.8674,0.0000,0.0000,0.0189
5.7003,0.8485,0.8485,0.8485,0.8667,0.0000,0.0000,0.0182
5.8002,0.8485,0.8485,0.8485,0.8669,0.0000,0.0000,0.0183
5.9058,0.8485,0.8485,0.8485,0.8675,0.0000,0.0000,0.0190
6.0003,0.8485,0.8485,0.8485,0.8676,0.0000,0.0000,0.0190
6.1002,0.8485,0.8485,0.8485,0.8657,0.0000,0.0000,0.0172
6.2002,0.8485,0.8485,0.8485,0.8664,0.0000,0.0000,0.0179
6.3003,0.8485,0.8485,0.8485,0.8647,0.0000,0.0000,0.0161
6.4004,0.8485,0.8485,0.8485,0.8632,0.0000,0.0000,0.0147
6.5011,0.8485,0.8485,0.8485,0.8628,0.0000,0.0000,0.0142
6.6002,0.8485,0.8485,0.8485,0.8637,0.0000,0.0000,0.0152
6.7006,0.8485,0.8485,0.8485,0.8619,0.0000,0.0000,0.0133
6.8002,0.8485,0.8485,0.8485,0.8636,0.0000,0.0000,0.0151
6.9132,0.8485,0.8485,0.8485,0.8646,0.0000,0.0000,0.0161
7.0003,0.8485,0.8485,0.8485,0.8643,0.0000,0.0000,0.0158
7.1038,0.8485,0.8485,0.8485,0.8626,0.0000,0.0000,0.0141
7.2014,0.8485,0.8485,0.8485,0.8622,0.0000,0.0000,0.0137
7.3002,0.8485,0.8485,0.8485,0.8651,0.0000,0.0000,0.0166
7.4005,0.8485,0.8485,0.8485,0.8646,0.0000,0.0000,0.0161
7.5003,0.8485,0.8485,0.8485,0.8649,0.0000,0.0000,0.0164
7.6002,0.8485,0.8485,0.8485,0.8652,0.0000,0.0000,0.0167
7.7005,0.8485,0.8485,0.8485,0.8644,0.0000,0.0000,0.0159
7.8004,0.8485,0.8485,0.8485,0.8650,0.0000,0.0000,0.0165
7.9004,0.8485,0.8485,0.8485,0.8644,0.0000,0.0000,0.0158
8.0004,0.8485,0.8485,0.8485,0.8630,0.0000,0.0000,0.0145
8.1002,0.8485,0.8485,0.8485,0.8640,0.0000,0.0000,0.0155
8.2002,0.8485,0.8485,0.8485,0.8643,0.0000,0.0000,0.0158
8.3003,0.8485,0.8485,0.8485,0.8628,0.0000,0.0000,0.0142
8.4002,0.8485,0.8485,0.8485,0.8623,0.0000,0.0000,0.0137
8.5002,0.8485,0.8485,0.8485,0.8622,0.0000,0.0000,0.0137
8.6002,0.8485,0.8485,0.8485,0.8624,0.0000,0.0000,0.0139
8.7003,0.8485,0.8485,0.8485,0.8623,0.0000,0.0000,0.0138
8.8003,0.8485,0.8485,0.8485,0.8638,0.0000,0.0000,0.0153
8.9005,0.8485,0.8485,0.8485,0.8638,0.0000,0.0000,0.0152
9.0003,0.8485,0.8485,0.8485,0.8633,0.0000,0.0000,0.0148
9.1002,0.8485,0.8485,0.8485,0.8603,0.0000,0.0000,0.0117
9.2003,0.8485,0.8485,0.8485,0.8609,0.0000,0.0000,0.0123
9.3002,0.8485,0.8485,0.8485,0.8613,0.0000,0.0000,0.0127
9.4002,0.8485,0.8485,0.8485,0.8600,0.0000,0.0000,0.0114
9.5003,0.8485,0.8485,0.8485,0.8599,0.0000,0.0000,0.0114
9.6002,0.8485,0.8485,0.8485,0.8582,0.0000,0.0000,0.0097
9.7002,0.8485,0.8485,0.8485,0.8597,0.0000,0.0000,0.0112
9.8050,0.8485,0.8485,0.8485,0.8600,0.0000,0.0000,0.0115
9.9001,0.8485,0.8485,0.8485,0.8599,0.0000,0.0000,0.0113
10.0038,0.8485,0.8485,0.8485,0.8591,0.0000,0.0000,0.0106
10.1007,0.8485,0.8485,0.8485,0.8577,0.0000,0.0000,0.0092
10.2001,0.8485,0.8485,0.8485,0.8587,0.0000,0.0000,0.0102
10.3002,0.8485,0.8485,0.8485,0.8588,0.0000,0.0000,0.0102
10.4002,0.8485,0.8485,0.8485,0.8611,0.0000,0.0000,0.0126
10.5002,0.8485,0.8485,0.8485,0.8623,0.0000,0.0000,0.0138
10.6002,0.8485,0.8485,0.8485,0.8621,0.0000,0.0000,0.0136
10.7010,0.8485,0.8485,0.8485,0.8608,0.0000,0.0000,0.0123
10.8015,0.8485,0.8485,0.8485,0.8622,0.0000,0.0000,0.0136
10.9004,0.8485,0.8485,0.8485,0.8617,0.0000,0.0000,0.0131
11.0002,0.8485,0.8485,0.8485,0.8607,0.0000,0.0000,0.0122
11.1050,0.8485,0.8485,0.8485,0.8598,0.0000,0.0000,0.0113
11.2002,0.8485,0.8485,0.8485,0.8585,0.0000,0.0000,0.0099
11.3002,0.8485,0.8485,0.8485,0.8575,0.0000,0.0000,0.0090
11.4005,0.8485,0.8485,0.8485,0.8582,0.0000,0.0000,0.0096
11.5040,0.8485,0.8485,0.8485,0.8572,0.0000,0.0000,0.0087
11.6001,0.8485,0.8485,0.8485,0.8559,0.0000,0.0000,0.0074
11.7013,0.8485,0.8485,0.8485,0.8577,0.0000,0.0000,0.0092
11.8003,0.8485,0.8485,0.8485,0.8597,0.0000,0.0000,0.0111
11.9002,0.8485,0.8485,0.8485,0.8607,0.0000,0.0000,0.0121
12.0009,0.8485,0.8485,0.8485,0.8618,0.0000,0.0000,0.0132
12.1001,0.8485,0.8485,0.8485,0.8637,0.0000,0.0000,0.0152
12.2026,0.8485,0.8485,0.8485,0.8635,0.0000,0.0000,0.0150
12.3002,0.8485,0.8485,0.8485,0.8636,0.0000,0.0000,0.0151
12.4050,0.8485,0.8485,0.8485,0.8642,0.0000,0.0000,0.0156
12.5002,0.8485,0.8485,0.8485,0.8631,0.0000,0.0000,0.0145
12.6002,0.8485,0.8485,0.8485,0.8630,0.0000,0.0000,0.0144
12.7002,0.8485,0.8485,0.8485,0.8614,0.0000,0.0000,0.0128
12.8002,0.8485,0.8485,0.8485,0.8616,0.0000,0.0000,0.0131
12.9001,0.8485,0.8485,0.8485,0.8614,0.0000,0.0000,0.0129
13.0001,0.8485,0.8485,0.8485,0.8612,0.0000,0.0000,0.0126
13.1001,0.8485,0.8485,0.8485,0.8623,0.0000,0.0000,0.0137
13.2006,0.8485,0.8485,0.8485,0.8635,0.0000,0.0000,0.0150
13.3002,0.8485,0.8485,0.8485,0.8601,0.0000,0.0000,0.0116
13.4002,0.8485,0.8485,0.8485,0.8592,0.0000,0.0000,0.0107
13.5002,0.8485,0.8485,0.8485,0.8580,0.0000,0.0000,0.0094
13.6004,0.8485,0.8485,0.8485,0.8577,0.0000,0.0000,0.0091
13.7001,0.8485,0.8485,0.8485,0.8580,0.0000,0.0000,0.0095
13.8001,0.8485,0.8485,0.8485,0.8593,0.0000,0.0000,0.0107
13.9001,0.8485,0.8485,0.8485,0.8595,0.0000,0.0000,0.0110
14.0001,0.8485,0.8485,0.8485,0.8610,0.0000,0.0000,0.0125
14.1001,0.8485,0.8485,0.8485,0.8606,0.0000,0.0000,0.0120
14.2001,0.8485,0.8485,0.8485,0.8585,0.0000,0.0000,0.0099
14.3001,0.8485,0.8485,0.8485,0.8595,0.0000,0.0000,0.0110
14.4001,0.8485,0.8485,0.8485,0.8607,0.0000,0.0000,0.0121
14.5001,0.8485,0.8485,0.8485,0.8607,0.0000,0.0000,0.0122
14.6002,0.8485,0.8485,0.8485,0.8618,0.0000,0.0000,0.0133
14.7001,0.8485,0.8485,0.8485,0.8607,0.0000,0.0000,0.0122
14.8032,0.8485,0.8485,0.8485,0.8603,0.0000,0.0000,0.0118
14.9001,0.8485,0.8485,0.8485,0.8597,0.0000,0.0000,0.0112
15.0006,0.8485,0.8485,0.8453,0.8556,0.0000,0.0031,0.0071
15.1009,0.8477,0.8481,0.8415,0.8498,0.0004,0.0061,0.0021
15.2001,0.8443,0.8459,0.8393,0.8409,0.0016,0.0050,0.0034
15.3001,0.8386,0.8412,0.8347,0.8315,0.0027,0.0039,0.0071
15.4001,0.8344,0.8372,0.8297,0.8229,0.0028,0.0047,0.0114
15.5002,0.8302,0.8329,0.8252,0.8158,0.0026,0.0050,0.0144
15.6002,0.8261,0.8285,0.8211,0.8103,0.0024,0.0050,0.0158
15.7001,0.8199,0.8221,0.8155,0.8033,0.0022,0.0045,0.0166
15.8001,0.8159,0.8179,0.8117,0.7987,0.0021,0.0042,0.0171
15.9002,0.8098,0.8135,0.8062,0.7941,0.0038,0.0035,0.0157
16.0001,0.8058,0.8077,0.8025,0.7905,0.0019,0.0032,0.0152
16.1001,0.8018,0.8030,0.7966,0.7844,0.0013,0.0051,0.0174
16.2064,0.7978,0.7992,0.7940,0.7817,0.0014,0.0038,0.0161
16.3011,0.7939,0.7944,0.7874,0.7739,0.0005,0.0064,0.0200
16.4002,0.7899,0.7906,0.7841,0.7688,0.0006,0.0058,0.0212
16.5001,0.7861,0.7871,0.7818,0.7671,0.0011,0.0042,0.0190
16.6055,0.7822,0.7829,0.7772,0.7614,0.0007,0.0050,0.0208
16.7001,0.7803,0.7801,0.7725,0.7556,0.0002,0.0078,0.0247
16.8001,0.7765,0.7768,0.7706,0.7553,0.0004,0.0058,0.0211
