time,rmse_kf,rmse_ekf,rmse_pf,error_x_kf,error_y_kf,error_x_ekf,error_y_ekf,error_x_pf,error_y_pf
3.8002,0.0000,0.0000,0.0104,-0.0000,0.0000,0.0000,-0.0000,-0.0083,0.0063
3.9001,0.0000,0.0000,0.0112,-0.0000,0.0000,0.0000,-0.0000,-0.0061,0.0102
4.0007,0.0000,0.0000,0.0110,-0.0000,0.0000,0.0000,-0.0000,-0.0083,0.0067
4.1002,0.0000,0.0000,0.0115,-0.0000,0.0000,0.0000,-0.0000,-0.0126,0.0023
4.2002,0.0000,0.0000,0.0132,0.0000,-0.0000,0.0000,-0.0000,-0.0183,-0.0021
4.3002,0.0000,0.0000,0.0143,0.0000,-0.0000,-0.0000,0.0000,-0.0183,-0.0051
4.4002,0.0000,0.0000,0.0150,0.0000,-0.0000,-0.0000,0.0000,-0.0170,-0.0072
4.5002,0.0000,0.0000,0.0155,-0.0000,0.0000,-0.0000,0.0000,-0.0164,-0.0089
4.6002,0.0000,0.0000,0.0159,-0.0000,0.0000,0.0000,0.0000,-0.0163,-0.0100
4.7002,0.0000,0.0000,0.0160,-0.0000,0.0000,0.0000,-0.0000,-0.0132,-0.0109
4.8002,0.0000,0.0000,0.0161,-0.0000,0.0000,0.0000,-0.0000,-0.0121,-0.0116
4.9002,0.0000,0.0000,0.0161,-0.0000,0.0000,0.0000,-0.0000,-0.0107,-0.0121
5.0001,0.0000,0.0000,0.0161,-0.0000,0.0000,0.0000,-0.0000,-0.0099,-0.0126
5.1002,0.0000,0.0000,0.0160,-0.0000,0.0000,0.0000,-0.0000,-0.0081,-0.0131
5.2002,0.0000,0.0000,0.0161,-0.0000,0.0000,0.0000,-0.0000,-0.0100,-0.0134
5.3002,0.0000,0.0000,0.0162,-0.0000,0.0000,0.0000,-0.0000,-0.0112,-0.0140
5.4018,0.0000,0.0000,0.0163,-0.0000,0.0000,0.0000,-0.0000,-0.0089,-0.0145
5.5008,0.0000,0.0000,0.0163,0.0000,-0.0000,-0.0000,0.0000,-0.0085,-0.0150
5.6002,0.0000,0.0000,0.0165,0.0000,-0.0000,-0.0000,0.0000,-0.0112,-0.0155
5.7003,0.0000,0.0000,0.0166,0.0000,-0.0000,0.0000,-0.0000,-0.0101,-0.0156
5.8002,0.0000,0.0000,0.0167,0.0000,-0.0000,0.0000,-0.0000,-0.0102,-0.0157
5.9058,0.0000,0.0000,0.0168,0.0000,-0.0000,0.0000,-0.0000,-0.0108,-0.0160
6.0003,0.0000,0.0000,0.0169,-0.0000,0.0000,0.0000,-0.0000,-0.0109,-0.0160
6.1002,0.0000,0.0000,0.0170,-0.0000,0.0000,0.0000,-0.0000,-0.0083,-0.0160
6.2002,0.0000,0.0000,0.0170,-0.0000,0.0000,0.0000,-0.0000,-0.0091,-0.0162
6.3003,0.0000,0.0000,0.0171,-0.0000,0.0000,0.0000,-0.0000,-0.0063,-0.0164
6.4004,0.0000,0.0000,0.0171,-0.0000,0.0000,0.0000,-0.0000,-0.0039,-0.0168
6.5011,0.0000,0.0000,0.0171,-0.0000,0.0000,0.0000,-0.0000,-0.0031,-0.0169
6.6002,0.0000,0.0000,0.0171,-0.0000,0.0000,0.0000,-0.0000,-0.0045,-0.0170
6.7006,0.0000,0.0000,0.0171,-0.0000,0.0000,0.0000,-0.0000,-0.0016,-0.0172
6.8002,0.0000,0.0000,0.0171,-0.0000,0.0000,0.0000,-0.0000,-0.0041,-0.0172
6.9132,0.0000,0.0000,0.0172,-0.0000,0.0000,0.0000,-0.0000,-0.0053,-0.0174
7.0003,0.0000,0.0000,0.0172,-0.0000,0.0000,0.0000,-0.0000,-0.0046,-0.0177
7.1038,0.0000,0.0000,0.0172,-0.0000,0.0000,0.0000,-0.0000,-0.0020,-0.0178
7.2014,0.0000,0.0000,0.0172,0.0000,-0.0000,0.0000,-0.0000,-0.0013,-0.0179
7.3002,0.0000,0.0000,0.0173,0.0000,-0.0000,-0.0000,0.0000,-0.0054,-0.0180
7.4005,0.0000,0.0000,0.0173,0.0000,-0.0000,-0.0000,0.0000,-0.0047,-0.0179
7.5003,0.0000,0.0000,0.0173,0.0000,-0.0000,-0.0000,0.0000,-0.0053,-0.0178
7.6002,0.0000,0.0000,0.0174,-0.0000,0.0000,-0.0000,0.0000,-0.0057,-0.0178
7.7005,0.0000,0.0000,0.0174,-0.0000,0.0000,-0.0000,0.0000,-0.0044,-0.0180
7.8004,0.0000,0.0000,0.0174,-0.0000,0.0000,0.0000,0.0000,-0.0052,-0.0180
7.9004,0.0000,0.0000,0.0175,-0.0000,0.0000,0.0000,-0.0000,-0.0043,-0.0180
8.0004,0.0000,0.0000,0.0175,-0.0000,0.0000,0.0000,-0.0000,-0.0026,-0.0178
8.1002,0.0000,0.0000,0.0175,-0.0000,0.0000,0.0000,-0.0000,-0.0039,-0.0178
8.2002,0.0000,0.0000,0.0175,-0.0000,0.0000,0.0000,-0.0000,-0.0042,-0.0181
8.3003,0.0000,0.0000,0.0175,-0.0000,0.0000,0.0000,-0.0000,-0.0018,-0.0182
8.4002,0.0000,0.0000,0.0176,-0.0000,0.0000,0.0000,-0.0000,-0.0011,-0.0182
8.5002,0.0000,0.0000,0.0176,-0.0000,0.0000,0.0000,-0.0000,-0.0010,-0.0182
8.6002,0.0000,0.0000,0.0176,-0.0000,0.0000,0.0000,-0.0000,-0.0012,-0.0183
8.7003,0.0000,0.0000,0.0176,0.0000,-0.0000,0.0000,-0.0000,-0.0012,-0.0183
8.8003,0.0000,0.0000,0.0176,0.0000,-0.0000,-0.0000,0.0000,-0.0033,-0.0182
