time,kf_cov_x,kf_cov_y,kf_cov_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,pf_cov_x,pf_cov_y,pf_cov_theta
4.0002,0.0271,0.0271,0.0000,0.0268,0.0268,0.0268,0.0388,0.0393,0.0314
4.1004,0.0206,0.0206,0.0000,0.0192,0.0192,0.0192,0.0232,0.0226,0.0201
4.2002,0.0199,0.0199,0.0000,0.0179,0.0179,0.0179,0.0145,0.0135,0.0123
4.3002,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0091,0.0078,0.0074
4.4002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0072,0.0058,0.0059
4.5004,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0058,0.0047,0.0048
4.6020,0.0201,0.0201,0.0000,0.0179,0.0179,0.0179,0.0059,0.0042,0.0046
4.7023,0.0199,0.0199,0.0000,0.0179,0.0179,0.0179,0.0057,0.0036,0.0042
4.8002,0.0204,0.0204,0.0000,0.0179,0.0179,0.0179,0.0057,0.0034,0.0043
4.9002,0.0209,0.0209,0.0000,0.0179,0.0179,0.0179,0.0060,0.0032,0.0044
5.0002,0.0210,0.0210,0.0000,0.0179,0.0179,0.0179,0.0066,0.0029,0.0047
5.1001,0.0203,0.0203,0.0000,0.0179,0.0179,0.0179,0.0066,0.0027,0.0044
5.2011,0.0200,0.0200,0.0000,0.0179,0.0179,0.0179,0.0066,0.0026,0.0043
5.3002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0070,0.0023,0.0043
5.4002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0064,0.0021,0.0040
5.5002,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0076,0.0019,0.0043
5.6005,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0078,0.0018,0.0042
5.7002,0.0199,0.0199,0.0000,0.0179,0.0179,0.0179,0.0080,0.0017,0.0043
5.8003,0.0200,0.0200,0.0000,0.0179,0.0179,0.0179,0.0078,0.0016,0.0046
5.9002,0.0205,0.0205,0.0000,0.0179,0.0179,0.0179,0.0080,0.0015,0.0051
6.0002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0072,0.0014,0.0045
6.1002,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0076,0.0013,0.0046
