time,in_dropout,gt_x,gt_y,kf_x,kf_y,ekf_x,ekf_y,pf_x,pf_y,kf_err,ekf_err,pf_err
4.0002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0058,0.0094,0.0000,0.0000,0.0111
4.1004,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0058,0.0069,0.0000,0.0000,0.0090
4.2002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0074,0.0101,0.0000,0.0000,0.0125
4.3002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0106,0.0056,0.0000,0.0000,0.0120
4.4002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0123,0.0032,0.0000,0.0000,0.0127
4.5004,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0178,0.0005,0.0000,0.0000,0.0178
4.6020,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0184,-0.0008,0.0000,0.0000,0.0184
4.7023,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0168,-0.0026,0.0000,0.0000,0.0170
4.8002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0190,-0.0032,0.0000,0.0000,0.0193
4.9002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0207,-0.0040,0.0000,0.0000,0.0210
5.0002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0179,-0.0055,0.0000,0.0000,0.0187
5.1001,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0163,-0.0067,0.0000,0.0000,0.0176
5.2011,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0156,-0.0072,0.0000,0.0000,0.0172
5.3002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0140,-0.0082,0.0000,0.0000,0.0162
5.4002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0115,-0.0091,0.0000,0.0000,0.0146
5.5002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0114,-0.0095,0.0000,0.0000,0.0148
5.6005,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0094,-0.0101,0.0000,0.0000,0.0139
5.7002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0096,-0.0104,0.0000,0.0000,0.0141
5.8003,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0082,-0.0109,0.0000,0.0000,0.0136
5.9002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0056,-0.0108,0.0000,0.0000,0.0122
6.0002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0037,-0.0113,0.0000,0.0000,0.0118
6.1002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0064,-0.0115,0.0000,0.0000,0.0132
6.2002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0060,-0.0116,0.0000,0.0000,0.0131
6.3003,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0061,-0.0116,0.0000,0.0000,0.0132
6.4002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0005,-0.0118,0.0000,0.0000,0.0118
6.5004,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0020,-0.0119,0.0000,0.0000,0.0121
6.6191,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0010,-0.0120,0.0000,0.0000,0.0121
6.7002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0010,-0.0120,0.0000,0.0000,0.0121
6.8004,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0035,-0.0120,0.0000,0.0000,0.0126
6.9056,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0049,-0.0124,0.0000,0.0000,0.0133
7.0003,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0024,-0.0127,0.0000,0.0000,0.0129
7.1004,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0023,-0.0130,0.0000,0.0000,0.0132
7.2003,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0029,-0.0131,0.0000,0.0000,0.0135
7.3090,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0014,-0.0134,0.0000,0.0000,0.0134
7.4002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0009,-0.0134,0.0000,0.0000,0.0135
7.5033,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0009,-0.0134,0.0000,0.0000,0.0135
7.6003,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0048,-0.0135,0.0000,0.0000,0.0143
7.7003,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0067,-0.0134,0.0000,0.0000,0.0150
7.8007,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0073,-0.0135,0.0000,0.0000,0.0154
7.9118,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0071,-0.0135,0.0000,0.0000,0.0153
8.0005,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0054,-0.0135,0.0000,0.0000,0.0145
8.1002,0,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0094,-0.0130,0.0000,0.0000,0.0161
