time,true_dist,kf_dist,ekf_dist,pf_dist,kf_err,ekf_err,pf_err
4.0002,0.8485,0.8485,0.8485,0.8461,0.0000,0.0000,0.0024
4.1004,0.8485,0.8485,0.8485,0.8478,0.0000,0.0000,0.0007
4.2002,0.8485,0.8485,0.8485,0.8467,0.0000,0.0000,0.0018
4.3002,0.8485,0.8485,0.8485,0.8522,0.0000,0.0000,0.0036
4.4002,0.8485,0.8485,0.8485,0.8550,0.0000,0.0000,0.0065
4.5004,0.8485,0.8485,0.8485,0.8609,0.0000,0.0000,0.0123
4.6020,0.8485,0.8485,0.8485,0.8622,0.0000,0.0000,0.0137
4.7023,0.8485,0.8485,0.8485,0.8623,0.0000,0.0000,0.0138
4.8002,0.8485,0.8485,0.8485,0.8643,0.0000,0.0000,0.0158
4.9002,0.8485,0.8485,0.8485,0.8661,0.0000,0.0000,0.0175
5.0002,0.8485,0.8485,0.8485,0.8651,0.0000,0.0000,0.0166
5.1001,0.8485,0.8485,0.8485,0.8648,0.0000,0.0000,0.0163
5.2011,0.8485,0.8485,0.8485,0.8647,0.0000,0.0000,0.0162
5.3002,0.8485,0.8485,0.8485,0.8642,0.0000,0.0000,0.0157
5.4002,0.8485,0.8485,0.8485,0.8631,0.0000,0.0000,0.0145
5.5002,0.8485,0.8485,0.8485,0.8633,0.0000,0.0000,0.0148
5.6005,0.8485,0.8485,0.8485,0.8624,0.0000,0.0000,0.0138
5.7002,0.8485,0.8485,0.8485,0.8627,0.0000,0.0000,0.0141
5.8003,0.8485,0.8485,0.8485,0.8620,0.0000,0.0000,0.0135
5.9002,0.8485,0.8485,0.8485,0.8601,0.0000,0.0000,0.0116
6.0002,0.8485,0.8485,0.8485,0.8591,0.0000,0.0000,0.0106
6.1002,0.8485,0.8485,0.8485,0.8612,0.0000,0.0000,0.0127
6.2002,0.8485,0.8485,0.8485,0.8610,0.0000,0.0000,0.0124
6.3003,0.8485,0.8485,0.8485,0.8611,0.0000,0.0000,0.0126
6.4002,0.8485,0.8485,0.8485,0.8573,0.0000,0.0000,0.0088
6.5004,0.8485,0.8485,0.8485,0.8584,0.0000,0.0000,0.0099
6.6191,0.8485,0.8485,0.8485,0.8564,0.0000,0.0000,0.0078
6.7002,0.8485,0.8485,0.8485,0.8564,0.0000,0.0000,0.0078
6.8004,0.8485,0.8485,0.8485,0.8596,0.0000,0.0000,0.0110
6.9056,0.8485,0.8485,0.8485,0.8608,0.0000,0.0000,0.0123
