time,rmse_kf,rmse_ekf,rmse_pf,error_x_kf,error_y_kf,error_x_ekf,error_y_ekf,error_x_pf,error_y_pf
4.0002,0.0000,0.0000,0.0111,-0.0000,0.0000,0.0000,-0.0000,-0.0058,0.0094
4.1004,0.0000,0.0000,0.0101,-0.0000,0.0000,0.0000,-0.0000,-0.0058,0.0069
4.2002,0.0000,0.0000,0.0109,-0.0000,0.0000,0.0000,-0.0000,-0.0074,0.0101
4.3002,0.0000,0.0000,0.0112,-0.0000,0.0000,0.0000,-0.0000,-0.0106,0.0056
4.4002,0.0000,0.0000,0.0115,-0.0000,0.0000,0.0000,-0.0000,-0.0123,0.0032
4.5004,0.0000,0.0000,0.0128,0.0000,-0.0000,0.0000,-0.0000,-0.0178,0.0005
4.6020,0.0000,0.0000,0.0137,0.0000,-0.0000,-0.0000,0.0000,-0.0184,-0.0008
4.7023,0.0000,0.0000,0.0142,0.0000,-0.0000,-0.0000,0.0000,-0.0168,-0.0026
4.8002,0.0000,0.0000,0.0148,0.0000,-0.0000,-0.0000,0.0000,-0.0190,-0.0032
4.9002,0.0000,0.0000,0.0156,0.0000,-0.0000,-0.0000,0.0000,-0.0207,-0.0040
5.0002,0.0000,0.0000,0.0159,-0.0000,0.0000,-0.0000,0.0000,-0.0179,-0.0055
5.1001,0.0000,0.0000,0.0160,-0.0000,0.0000,-0.0000,0.0000,-0.0163,-0.0067
5.2011,0.0000,0.0000,0.0161,-0.0000,0.0000,-0.0000,0.0000,-0.0156,-0.0072
5.3002,0.0000,0.0000,0.0161,-0.0000,0.0000,0.0000,-0.0000,-0.0140,-0.0082
5.4002,0.0000,0.0000,0.0160,-0.0000,0.0000,0.0000,-0.0000,-0.0115,-0.0091
5.5002,0.0000,0.0000,0.0160,-0.0000,0.0000,0.0000,-0.0000,-0.0114,-0.0095
5.6005,0.0000,0.0000,0.0158,-0.0000,0.0000,0.0000,-0.0000,-0.0094,-0.0101
5.7002,0.0000,0.0000,0.0158,-0.0000,0.0000,0.0000,-0.0000,-0.0096,-0.0104
5.8003,0.0000,0.0000,0.0157,-0.0000,0.0000,0.0000,-0.0000,-0.0082,-0.0109
5.9002,0.0000,0.0000,0.0155,-0.0000,0.0000,0.0000,-0.0000,-0.0056,-0.0108
6.0002,0.0000,0.0000,0.0153,-0.0000,0.0000,0.0000,-0.0000,-0.0037,-0.0113
6.1002,0.0000,0.0000,0.0153,-0.0000,0.0000,0.0000,-0.0000,-0.0064,-0.0115
6.2002,0.0000,0.0000,0.0152,-0.0000,0.0000,0.0000,-0.0000,-0.0060,-0.0116
